
esot500s          | AUC        | OP50       | OP75       | Precision    | Norm Precision    |
atom              | 39.52      | 38.99      | 9.52       | 46.19        | 33.23             |
atom              | 36.10      | 35.80      | 8.13       | 42.54        | 30.81             |
atom              | 40.38      | 42.16      | 10.13      | 47.59        | 35.80             |
atom              | 39.13      | 39.30      | 9.77       | 47.33        | 34.12             |
atom              | 34.83      | 34.83      | 7.89       | 39.65        | 29.68             |
atom_fe240        | 39.31      | 41.19      | 9.04       | 47.76        | 38.04             |
atom_fe240        | 39.42      | 41.59      | 8.99       | 45.63        | 37.91             |
atom_fe240        | 41.79      | 42.23      | 9.71       | 49.03        | 39.34             |
atom_fe240        | 39.39      | 39.22      | 9.12       | 46.22        | 37.24             |
atom_fe240        | 43.46      | 43.87      | 10.06      | 52.96        | 42.67             |
dimp18            | 42.49      | 42.20      | 11.26      | 51.08        | 38.68             |
dimp18            | 43.07      | 43.57      | 10.53      | 51.23        | 39.20             |
dimp18            | 42.28      | 42.50      | 11.46      | 49.93        | 39.13             |
dimp18            | 42.59      | 43.46      | 10.72      | 50.29        | 39.16             |
dimp18            | 40.96      | 40.65      | 10.02      | 49.96        | 37.92             |
dimp18_fe240      | 36.10      | 33.19      | 5.97       | 39.81        | 30.35             |
dimp18_fe240      | 36.52      | 33.67      | 5.62       | 40.13        | 30.36             |
dimp18_fe240      | 37.37      | 34.89      | 6.26       | 42.61        | 32.35             |
dimp18_fe240      | 34.84      | 31.84      | 5.21       | 38.58        | 29.26             |
dimp18_fe240      | 35.40      | 32.22      | 5.65       | 39.05        | 30.28             |
prdimp18          | 34.97      | 35.05      | 10.51      | 40.39        | 32.12             |
prdimp18          | 35.01      | 34.65      | 10.35      | 41.34        | 32.36             |
prdimp18          | 34.12      | 33.74      | 10.44      | 39.33        | 30.35             |
prdimp18          | 34.62      | 34.44      | 10.69      | 39.56        | 31.37             |
prdimp18          | 33.84      | 33.35      | 10.54      | 39.36        | 30.91             |
dimp50            | 44.12      | 46.09      | 13.13      | 52.77        | 41.25             |
dimp50            | 45.49      | 47.36      | 14.60      | 55.41        | 43.76             |
dimp50            | 43.27      | 45.20      | 13.36      | 51.04        | 40.70             |
dimp50            | 45.42      | 47.66      | 14.35      | 55.06        | 42.96             |
dimp50            | 44.32      | 46.23      | 13.72      | 53.16        | 41.88             |
kys               | 42.28      | 43.57      | 11.93      | 49.37        | 37.75             |
kys               | 42.39      | 43.40      | 11.85      | 49.11        | 38.16             |
kys               | 43.11      | 44.73      | 12.85      | 50.99        | 38.71             |
kys               | 45.84      | 47.45      | 13.52      | 54.20        | 42.19             |
kys               | 42.20      | 43.61      | 11.42      | 49.44        | 37.74             |
kys_fe240         | 42.21      | 43.30      | 12.05      | 48.45        | 37.69             |
kys_fe240         | 45.65      | 47.91      | 12.65      | 54.17        | 41.80             |
kys_fe240         | 41.97      | 42.76      | 11.58      | 48.95        | 36.81             |
kys_fe240         | 42.71      | 43.91      | 12.25      | 50.31        | 39.60             |
kys_fe240         | 42.27      | 43.79      | 12.07      | 49.47        | 38.16             |
rts50             | 38.58      | 37.89      | 11.23      | 46.60        | 38.12             |
rts50             | 37.67      | 36.85      | 10.36      | 45.54        | 36.90             |
rts50             | 37.44      | 36.88      | 10.37      | 45.52        | 36.93             |
rts50             | 38.34      | 37.47      | 10.63      | 46.35        | 38.00             |
rts50             | 37.73      | 37.33      | 10.23      | 45.38        | 37.18             |
keep_track        | 44.12      | 46.70      | 17.98      | 52.51        | 42.14             |
keep_track        | 44.43      | 47.13      | 17.59      | 53.46        | 43.01             |
keep_track        | 44.85      | 47.54      | 18.41      | 53.22        | 43.48             |
keep_track        | 44.19      | 46.82      | 17.65      | 52.45        | 42.12             |
keep_track        | 43.70      | 45.81      | 17.13      | 51.88        | 41.63             |
tomp50            | 47.99      | 55.20      | 21.05      | 57.43        | 49.33             |
tomp50            | 48.35      | 55.61      | 21.69      | 58.69        | 50.08             |
tomp50            | 48.24      | 55.05      | 21.69      | 58.44        | 49.68             |
tomp50            | 48.97      | 55.95      | 22.25      | 59.80        | 50.70             |
tomp50            | 48.29      | 55.68      | 21.73      | 58.41        | 49.91             |
